sweep_id,dataset,model,model_hidden_layers,loss,id,validation_accuracy,parameter_1_name,parameter_1_value
jqagag8w,phomene,bmlp,"[100,30]",l2normal,1,0.8862164616584778,loss_alpha,0.00021544129472565336
jqagag8w,phomene,bmlp,"[100,30]",l2normal,2,0.8852913975715637,loss_alpha,0.00014809202317603347
