sweep_id,dataset,model,model_hidden_layers,loss,id,validation_accuracy,parameter_1_name,parameter_1_value,test_accuracy
23afm46n,phomene,bmlp,"[100,30]",normal,1,0.892691969871521,model_dropout,0.03949967876061129,0.8843663334846497
23afm46n,phomene,bmlp,"[100,30]",normal,2,0.8871415257453918,model_dropout,0.03901582473243325,0.8788158893585205
