sweep_id,dataset,model,model_hidden_layers,loss,id,validation_accuracy,parameter_1_name,parameter_1_value,parameter_2_name,parameter_2_value
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,13,0.9028677344322203,loss_alpha,-0.01624016584725485,estimator_reg_coef_value,0.5362916894354073
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,14,0.9028677344322203,loss_alpha,-0.03819833153593588,estimator_reg_coef_value,1.655003858429544
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,15,0.9028677344322203,loss_alpha,-0.010769678508091074,estimator_reg_coef_value,0.2701933076477102
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,16,0.9019426703453064,loss_alpha,-0.011240461659942746,estimator_reg_coef_value,0.49073593404322946
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,17,0.9019426703453064,loss_alpha,-0.013579757740730614,estimator_reg_coef_value,0.6628785393203458
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,18,0.9019426703453064,loss_alpha,-0.06373078550751632,estimator_reg_coef_value,1.2672151010967343
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,19,0.9019426703453064,loss_alpha,-0.026966111030343964,estimator_reg_coef_value,0.2527416928285442
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,20,0.9010175466537476,loss_alpha,-0.05655422467874638,estimator_reg_coef_value,1.112449841826522
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,21,0.9010175466537476,loss_alpha,-0.20127357488677933,estimator_reg_coef_value,2.062538076903028
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,22,0.9010175466537476,loss_alpha,-0.023075444853821403,estimator_reg_coef_value,1.5928445923922836
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,23,0.9010175466537476,loss_alpha,-0.015138016490982786,estimator_reg_coef_value,2.187496058660923
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,24,0.9010175466537476,loss_alpha,-0.02030545366754133,estimator_reg_coef_value,1.7575316446420557
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,25,0.9000924825668335,loss_alpha,-0.19336955428234048,estimator_reg_coef_value,0.7018996280492763
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,26,0.9000924825668335,loss_alpha,-0.07007649922558112,estimator_reg_coef_value,1.6606844356136925
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,27,0.9000924825668335,loss_alpha,-0.02627658493752405,estimator_reg_coef_value,1.3673910528288868
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,28,0.9000924825668335,loss_alpha,-0.09541245509206432,estimator_reg_coef_value,1.742686953332575
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,29,0.9000924825668335,loss_alpha,-0.013814778163523722,estimator_reg_coef_value,1.3620313509825277
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,30,0.8991674184799194,loss_alpha,-0.06823895758643073,estimator_reg_coef_value,1.7122187167952925
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,31,0.8991674184799194,loss_alpha,-0.015677491950984446,estimator_reg_coef_value,0.1575130649453371
frpbojje,phomene,bmlp,"[150, 1000, 150, 30]",scfe_regularization,32,0.8991674184799194,loss_alpha,-0.0437060717570229,estimator_reg_coef_value,1.323655276657648
