sweep_id,dataset,model,model_hidden_layers,loss,id,validation_accuracy,parameter_1_name,parameter_1_value
haho6sbf,phomene,bmlp,"[150, 1000, 150, 30]",l1normal,1,0.88899165391922,loss_alpha,0.0003259425511456537
haho6sbf,phomene,bmlp,"[150, 1000, 150, 30]",l1normal,2,0.8843663334846497,loss_alpha,8.387631441780974e-05
