sweep_id,dataset,model,model_hidden_layers,loss,id,validation_accuracy,parameter_1_name,parameter_1_value,parameter_2_name,parameter_2_value,test_accuracy
ujgiffaz,water,bmlp,"[100,30]",scfe_regularization,14,0.6748091578483582,loss_alpha,-0.8595757610292067,estimator_reg_coef_value,1.9868336935541908,0.6722561120986938
ujgiffaz,water,bmlp,"[100,30]",scfe_regularization,32,0.6687023043632507,loss_alpha,-0.629629299888468,estimator_reg_coef_value,1.140027750287376,0.667682945728302
ujgiffaz,water,bmlp,"[100,30]",scfe_regularization,30,0.6687023043632507,loss_alpha,-0.8813073736418809,estimator_reg_coef_value,2.0657376221566346,0.6661585569381714
ujgiffaz,water,bmlp,"[100,30]",scfe_regularization,11,0.6748091578483582,loss_alpha,-0.9185401123038665,estimator_reg_coef_value,2.219513221865417,0.6615853905677795
