sweep_id,dataset,model,model_hidden_layers,loss,id,validation_accuracy,parameter_1_name,parameter_1_value
nescwp11,water,bmlp,"[150, 1000, 150, 30]",normal,1,0.6961832046508789,model_dropout,0.5002195586343308
nescwp11,water,bmlp,"[150, 1000, 150, 30]",normal,2,0.6885496377944946,model_dropout,0.6754061411602905
