sweep_id,dataset,model,loss,id,validation_accuracy,parameter_1_name,parameter_1_value,parameter_2_name,parameter_2_value
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,1,0.8270000219345093,loss_alpha,-0.012447193554932956,estimator_reg_coef_value,2.011130963701822
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,2,0.8184999823570251,loss_alpha,-0.017910553198877133,estimator_reg_coef_value,2.143752292825944
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,3,0.8169999718666077,loss_alpha,-0.011743747998734675,estimator_reg_coef_value,2.057848974308325
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,4,0.8169999718666077,loss_alpha,-0.012951485379652404,estimator_reg_coef_value,1.9853739019253296
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,5,0.8169999718666077,loss_alpha,-0.015290741333181646,estimator_reg_coef_value,1.7216031290050835
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,6,0.8165000081062317,loss_alpha,-0.013202123236982,estimator_reg_coef_value,1.100794103204032
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,7,0.8159999847412109,loss_alpha,-0.013932577534660815,estimator_reg_coef_value,1.8754412042094288
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,8,0.8140000104904175,loss_alpha,-0.010841812080669032,estimator_reg_coef_value,1.2055622300512068
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,9,0.8134999871253967,loss_alpha,-0.011159867134663217,estimator_reg_coef_value,1.9500387272985344
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,10,0.8130000233650208,loss_alpha,-0.011072273065828142,estimator_reg_coef_value,1.148261778351038
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,11,0.8119999766349792,loss_alpha,-0.014549219127633406,estimator_reg_coef_value,0.6448417699030536
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,12,0.8115000128746033,loss_alpha,-0.010027120554574442,estimator_reg_coef_value,1.6729498724237548
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,13,0.8115000128746033,loss_alpha,-0.010093322502638724,estimator_reg_coef_value,0.5518149529674292
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,14,0.8115000128746033,loss_alpha,-0.011948934986167337,estimator_reg_coef_value,1.145680465254784
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,15,0.8100000023841858,loss_alpha,-0.012160632219980204,estimator_reg_coef_value,2.0159056901607784
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,16,0.8084999918937683,loss_alpha,-0.019684904253266744,estimator_reg_coef_value,1.8262682633143592
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,17,0.8084999918937683,loss_alpha,-0.015141935209222912,estimator_reg_coef_value,2.249961790476475
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,18,0.8065000176429749,loss_alpha,-0.02952382507147977,estimator_reg_coef_value,2.2087866405454686
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,19,0.8050000071525574,loss_alpha,-0.020462760520040035,estimator_reg_coef_value,1.8139578186612344
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,20,0.8050000071525574,loss_alpha,-0.032017041150921854,estimator_reg_coef_value,0.8924588117387705
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,21,0.8044999837875366,loss_alpha,-0.014503015968240218,estimator_reg_coef_value,1.3228085379808383
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,22,0.8044999837875366,loss_alpha,-0.01965315196033346,estimator_reg_coef_value,2.057470869591735
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,23,0.8040000200271606,loss_alpha,-0.014908703420667193,estimator_reg_coef_value,0.5007505466954232
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,24,0.8040000200271606,loss_alpha,-0.03465584505498598,estimator_reg_coef_value,2.294906273444894
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,25,0.8009999990463257,loss_alpha,-0.01057187395537229,estimator_reg_coef_value,0.14617608343552407
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,26,0.800000011920929,loss_alpha,-0.13466710390322278,estimator_reg_coef_value,1.4681413364711546
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,27,0.7990000247955322,loss_alpha,-0.022769848047891283,estimator_reg_coef_value,1.93111144750942
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,28,0.7985000014305115,loss_alpha,-0.02243693897496135,estimator_reg_coef_value,1.4060622484158285
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,29,0.7979999780654907,loss_alpha,-0.09121914825957612,estimator_reg_coef_value,1.885708985493856
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,30,0.7975000143051147,loss_alpha,-0.1528703902032198,estimator_reg_coef_value,2.210776405069659
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,31,0.796999990940094,loss_alpha,-0.08602504533060906,estimator_reg_coef_value,1.2147950327208692
tsg6y5m9,cifar10,BPreActResNet,scfe_regularization,32,0.7954999804496765,loss_alpha,-0.06454034009016862,estimator_reg_coef_value,0.7739970064985155
