sweep_id,dataset,model,loss,id,validation_accuracy,parameter_1_name,parameter_1_value,test_accuracy
aia53f9c,cifar10,BPreActResNet,l2normal,1,0.5,loss_alpha,0.4329396860539067,0.5
aia53f9c,cifar10,BPreActResNet,l2normal,2,0.5,loss_alpha,0.8870117249775085,0.5
