sweep_id,dataset,model,loss,id,validation_accuracy,parameter_1_name,parameter_1_value
qa9ljdbb,cifar10,BPreActResNet,l1normal,1,0.5,loss_alpha,0.3616252155284358
qa9ljdbb,cifar10,BPreActResNet,l1normal,2,0.5,loss_alpha,0.22835150478944136
