sweep_id,dataset,model,loss,id,validation_accuracy,parameter_1_name,parameter_1_value,parameter_2_name,parameter_2_value,test_accuracy
9u913qxq,cifar10,BPreActResNet,scfe_regularization,1,0.8270000219345093,loss_alpha,-0.012447193554932956,estimator_reg_coef_value,2.011130963701822,0.8240000009536743
9u913qxq,cifar10,BPreActResNet,scfe_regularization,2,0.8184999823570251,loss_alpha,-0.017910553198877133,estimator_reg_coef_value,2.143752292825944,0.8105000257492065
9u913qxq,cifar10,BPreActResNet,scfe_regularization,3,0.8169999718666077,loss_alpha,-0.011743747998734675,estimator_reg_coef_value,2.057848974308325,0.8220000267028809
9u913qxq,cifar10,BPreActResNet,scfe_regularization,4,0.8169999718666077,loss_alpha,-0.012951485379652404,estimator_reg_coef_value,1.9853739019253296,0.8330000042915344
9u913qxq,cifar10,BPreActResNet,scfe_regularization,5,0.8169999718666077,loss_alpha,-0.015290741333181646,estimator_reg_coef_value,1.7216031290050835,0.8245000243186951
9u913qxq,cifar10,BPreActResNet,scfe_regularization,6,0.8165000081062317,loss_alpha,-0.013202123236982,estimator_reg_coef_value,1.100794103204032,0.8209999799728394
9u913qxq,cifar10,BPreActResNet,scfe_regularization,7,0.8159999847412109,loss_alpha,-0.013932577534660815,estimator_reg_coef_value,1.8754412042094288,0.8190000057220459
9u913qxq,cifar10,BPreActResNet,scfe_regularization,8,0.8140000104904175,loss_alpha,-0.010841812080669032,estimator_reg_coef_value,1.2055622300512068,0.7944999933242798
9u913qxq,cifar10,BPreActResNet,scfe_regularization,9,0.8134999871253967,loss_alpha,-0.011159867134663217,estimator_reg_coef_value,1.9500387272985344,0.8149999976158142
9u913qxq,cifar10,BPreActResNet,scfe_regularization,10,0.8130000233650208,loss_alpha,-0.011072273065828142,estimator_reg_coef_value,1.148261778351038,0.8184999823570251
9u913qxq,cifar10,BPreActResNet,scfe_regularization,11,0.8119999766349792,loss_alpha,-0.014549219127633406,estimator_reg_coef_value,0.6448417699030536,0.8134999871253967
9u913qxq,cifar10,BPreActResNet,scfe_regularization,12,0.8115000128746033,loss_alpha,-0.010027120554574442,estimator_reg_coef_value,1.6729498724237548,0.8245000243186951
9u913qxq,cifar10,BPreActResNet,scfe_regularization,13,0.8115000128746033,loss_alpha,-0.010093322502638724,estimator_reg_coef_value,0.5518149529674292,0.8174999952316284
9u913qxq,cifar10,BPreActResNet,scfe_regularization,14,0.8115000128746033,loss_alpha,-0.011948934986167337,estimator_reg_coef_value,1.145680465254784,0.8149999976158142
9u913qxq,cifar10,BPreActResNet,scfe_regularization,15,0.8100000023841858,loss_alpha,-0.012160632219980204,estimator_reg_coef_value,2.0159056901607784,0.8190000057220459
9u913qxq,cifar10,BPreActResNet,scfe_regularization,16,0.8084999918937683,loss_alpha,-0.019684904253266744,estimator_reg_coef_value,1.8262682633143592,0.8144999742507935
9u913qxq,cifar10,BPreActResNet,scfe_regularization,17,0.8084999918937683,loss_alpha,-0.015141935209222912,estimator_reg_coef_value,2.249961790476475,0.828000009059906
9u913qxq,cifar10,BPreActResNet,scfe_regularization,18,0.8065000176429749,loss_alpha,-0.02952382507147977,estimator_reg_coef_value,2.2087866405454686,0.7904999852180481
