sweep_id,dataset,model,model_hidden_layers,loss,id,validation_accuracy,parameter_1_name,parameter_1_value
gxy4etq7,higgs_reduced,bmlp,"[100,30]",normal,1,0.7239500284194946,model_dropout,0.017773955561576293
gxy4etq7,higgs_reduced,bmlp,"[100,30]",normal,2,0.7234500050544739,model_dropout,0.049656869755833624
