sweep_id,dataset,preprocessor_poly_features_degree,model,loss,id,validation_accuracy,parameter_1_name,parameter_1_value
vgj0i4gu,phomene,11,logisticregression,l1normal,1,0.8353376388549805,loss_alpha,0.004556178879936412
vgj0i4gu,phomene,11,logisticregression,l1normal,2,0.8344125747680664,loss_alpha,0.0047439114541957825
